"gene_short_name","pval","qval"
"UBXN11",1.67305595364351e-26,1.93734056211732e-26
"DUSP4",1.39015062270668e-65,1.82193983127467e-65
"NPC2",2.82253870205886e-64,3.68806038864187e-64
"SERPINA1",4.68239574542878e-207,8.38565697680309e-207
"SCGB3A2",0,0
"ZC3H12A",3.2886090605649e-194,5.77007472086944e-194
"HPS4",2.53754087679979e-09,2.72329138763253e-09
"ADRB2",4.39451967984106e-149,6.89883760991382e-149
"CD74",3.96317359900356e-69,5.25789135450626e-69
"VPS37B",5.39790430235946e-60,6.96893615155363e-60
"CSTB",8.61045891446075e-93,1.18788627767281e-92
"TXN",1.30332676790725e-34,1.56146489506894e-34
"RNASE1",4.90617051548655e-148,7.67420885333792e-148
"C15orf48",2.54469700816769e-44,3.12665186372877e-44
"PLAUR",3.95670750021608e-18,4.43335749700377e-18
"HIPK1",0.100440980013682,0.102213467896276
"ANXA1",8.01285631072474e-132,1.19915583196832e-131
"EHD1",4.67351607866197e-13,5.11720431397798e-13
"S100A9",1.18535967848389e-71,1.58230883007494e-71
"LMNA",1.24131572476447e-07,1.31424492279225e-07
"GPBP1",1.51454034661973e-08,1.61538520323806e-08
"CD37",0,0
"CCL4",0,0
"CCL4L2",3.2050969491017e-132,4.8048680432807e-132
"CXCR4",0,0
"LAPTM5",0,0
"FCER1G",0,0
"KIT",0,0
"BTK",4.16388779866411e-133,6.26393555799036e-133
"CD53",4.7694118407041e-158,7.72573266331282e-158
"LCP1",5.69391159714304e-173,9.6953415974975e-173
"C1orf162",0,0
"GPR183",1.07468511917991e-199,1.90492341821849e-199
"GMFG",7.9639774964502e-287,1.64804797474388e-286
"IGHM",5.03001237956468e-166,8.36723213139124e-166
"IGLC3",2.8922428691254e-166,4.82971058261287e-166
"DNAJB9",1.42319924064168e-99,2.00173551732528e-99
"PTGS2",1.2536860335343e-57,1.60657543556618e-57
"GABPB1",1.3567565723985e-171,2.30116555906805e-171
"MTHFD2",6.69466819128468e-119,9.74896967249368e-119
"UBA7",2.05103713693991e-15,2.27746742420157e-15
"RGS2",0,0
"RALB",2.2616039132621e-67,2.98669829766674e-67
"RHOG",9.25585970998278e-94,1.28101098386162e-93
"LEPROTL1",1.18918318860142e-92,1.63796729003222e-92
"RASGEF1B",1.94102839340119e-49,2.41581231696694e-49
"RNF130",6.76912092715951e-238,1.28405473727916e-237
"ACP5",2.67893436430913e-92,3.6840671305682e-92
"ID2",1.04139682487993e-127,1.54778050433186e-127
"HLA-B",1.74233028980344e-143,2.70577325077196e-143
"ARID4A",8.0617642112013e-28,9.41083136665199e-28
"HLA-DPA1",1.82449717264246e-128,2.72101733506159e-128
"TWISTNB",1.06267104463257e-24,1.22073101408655e-24
"HLA-DPB1",5.06946920974415e-167,8.49823811323389e-167
"ELL2",1.34201154589895e-78,1.80816197383581e-78
"DDIT4",2.32811598822259e-76,3.12705020157227e-76
"NSMCE1",1.47030321834992e-79,1.98720669355107e-79
"CTSZ",3.88244520228022e-47,4.79759299996056e-47
"DBI",1.06824587812247e-124,1.5688161028454e-124
"SLC4A2",1.23984002427243e-07,1.31424492279225e-07
"VWA5A",3.6066792146411e-322,8.00386346262819e-322
"ARHGAP18",2.62111216910815e-185,4.5345240525571e-185
"CSF1",3.24496986875674e-139,5.01231952941889e-139
"SRGN",0,0
"PLIN2",0,0
"PLGRKT",1.02573521874624e-101,1.44740777196655e-101
"LACTB",2.96763689021087e-82,4.0235202351605e-82
"CD68",3.43671219097727e-222,6.31158396007503e-222
"PAG1",9.19345789369563e-166,1.52343698813156e-165
"SH3BGRL3",4.2170573911155e-56,5.35646790501455e-56
"C4orf48",1.67670484457773e-18,1.88357102670095e-18
"COTL1",1.01291671343724e-75,1.35840768546235e-75
"CPEB4",1.95348810159551e-31,2.31474959983577e-31
"RGS1",0,0
"SPP1",0,0
"LYZ",1.03610377287856e-234,1.95683354484707e-234
"HLA-DQA1",8.19592677719649e-121,1.19754673349239e-120
"TDRD3",6.37342262737451e-99,8.94969248811519e-99
"CREM",0,0
"AP1S2",9.65104301298452e-173,1.64010848845415e-172
"LEO1",4.45695992797595e-142,6.90908662670107e-142
"ACOT7",2.88953195554455e-104,4.10417921436131e-104
"SNX10",1.03760130058766e-120,1.51353309444911e-120
"APOC1",0,0
"ZNF331",1.61825928643679e-196,2.85090485288762e-196
"JCHAIN",1.59159296264053e-150,2.51687004146995e-150
"RGS10",6.33334716291408e-212,1.14609734224282e-211
"PHF20",4.31821884418805e-95,5.98599246830554e-95
"CCNH",2.45931119668828e-96,3.4146134592863e-96
"CTSS",1.15207042629769e-33,1.3726458935916e-33
"IDI1",1.64897374804898e-33,1.96198389554658e-33
"ACER3",4.5717645698446e-32,5.42465892032316e-32
"DTNBP1",7.42460225223833e-27,8.60895569461951e-27
"CCL18",0,0
"SMYD3",5.77986810790391e-114,8.29118725263164e-114
"ARHGDIB",0,0
"CKLF",0,0
"TPST2",6.30265723356891e-30,7.41741293474436e-30
"STK4",6.61397017961722e-71,8.80166800825984e-71
"ALAS1",1.57333900556186e-65,2.05890807838277e-65
"TYROBP",0,0
"MIIP",9.05660137951078e-109,1.29273270516119e-108
"GALC",1.60343864164706e-96,2.22986241965387e-96
"C1QB",0,0
"C1QA",3.12845815557048e-278,6.35238569147528e-278
"FBP1",1.02256172967027e-148,1.60238386986374e-148
"SYTL3",8.69158264231637e-205,1.5533510300834e-204
"HCST",6.69194359396337e-169,1.12836865668193e-168
"STX11",4.52994747956374e-77,6.0939417882156e-77
"HPGD",0,0
"AIF1",4.48041710742263e-125,6.59108979238193e-125
"TSC22D1",0.630519465676869,0.634185276523828
"ABCD3",0.0525101836059766,0.0538167166103907
"CDC42SE1",0.00495454861741811,0.00510200542150793
"HLA-DRB5",1.74191090887801e-11,1.89767372314795e-11
"FABP5",4.5141371325999e-21,5.11759976369451e-21
"C1orf56",0.265067157161448,0.26848137112957
"HP",6.09502891980934e-34,7.27200002156562e-34
"SFTPC",1.42412055855486e-17,1.59361485530395e-17
"SFTPA2",5.2357588593514e-20,5.91244309835373e-20
"SFTPA1",9.50170816127229e-19,1.07017936972663e-18
"SEC11C",1.78709762479567e-08,1.90140153191667e-08
"HLA-DRB1",4.07822719744283e-06,4.28114869634471e-06
"GCHFR",0.00378075828564224,0.0039072352653292
"HLA-DQB1",1.97596923274373e-10,2.13651673290416e-10
"AREG",0,0
"FBXO34",0.0369080989615849,0.0378712996462289
"HLA-DMA",0.188677102987313,0.191555978971861
"PTTG1",3.03323458190184e-08,3.22327753482198e-08
"TNFRSF18",0.0926722152433052,0.0944186880865241
"SDPR",1.12034676495496e-157,1.80802229792171e-157
"AAED1",7.91911828263284e-127,1.17295159494476e-126
"BRE",9.73798311106059e-85,1.32860495127246e-84
"TRAPPC2P1",3.88988322194109e-68,5.15275495708888e-68
"IGHA1",1.79196021556569e-211,3.23600331203408e-211
"NR4A2",6.47807871551181e-36,7.80437059737844e-36
"GLUL",3.24833409455713e-227,6.00386536707674e-227
"SELK",0,0
"IGKC",0,0
"IGLC2",3.86292091986927e-199,6.83318322226363e-199
"NFKBIA",1.12080164034247e-08,1.19690545542745e-08
"TNFAIP3",2.52340512275092e-40,3.08733441468111e-40
"DUSP10",9.84229640856847e-11,1.06686546283355e-10
"STX3",1.02653605568533e-13,1.12684478193885e-13
"TNFAIP8",0.0802196801195141,0.0820213041411108
"UCP2",3.80866913694811e-05,3.98849734075075e-05
"BATF",3.79797129613186e-219,6.93089698555709e-219
"PRKX",4.49322377602359e-27,5.2239765675543e-27
"RASSF5",1.34764714505734e-38,1.64185180348535e-38
"RAC2",7.78557402445724e-222,1.42680540914312e-221
"PIM2",1.06954935771339e-48,1.32544440461616e-48
"CPM",0,0
"LTC4S",8.66695432399773e-232,1.62270898057533e-231
"STXBP6",1.44343609436653e-159,2.34694026621626e-159
"REL",7.94424107528976e-68,1.05072913304673e-67
"CAPG",3.94324534103539e-239,7.51301149778769e-239
"SLC26A2",2.78626823385057e-114,4.00352495395473e-114
"SOCS1",0,0
"CTNNBL1",2.37639763005168e-66,3.12874269405586e-66
"NDEL1",2.54146053387306e-26,2.93506456849158e-26
"FXYD5",2.72177773959447e-149,4.28061408136222e-149
"ANKRD28",1.67780409566929e-125,2.47240296891642e-125
"SYAP1",2.78448466563335e-166,4.6587606107792e-166
"FDX1",9.85675778840374e-116,1.42101591449487e-115
"ELF1",7.17780690513128e-105,1.02118469949647e-104
"ALG13",1.33546340023068e-27,1.55684075633361e-27
"ACSL4",1.93686947480629e-44,2.3832035500817e-44
"MSRA",2.11617388495183e-22,2.40854001379386e-22
"METTL21A",9.38299320612397e-24,1.07358321736736e-23
"GNA15",9.30994542800033e-14,1.02326592061249e-13
"MLPH",0.0875767415602054,0.0894378765638462
"SLC16A3",2.73633570308535e-19,3.08595877857735e-19
"TSEN54",2.27105191006278e-31,2.68735964733831e-31
"SMIM1",2.09590022141828e-16,2.33327373426874e-16
"CTSD",2.04198844269731e-09,2.19418633904742e-09
"CTSB",0.98418156581669,0.98418156581669
"RANBP2",0.722825594788035,0.725341229108644
"STMN1",9.09854232344455e-14,1.00130268572259e-13
"ABRACL",3.51250618794289e-07,3.70526567386658e-07
"CDC42EP3",2.04971890032844e-11,2.23019729406805e-11
"CD83",7.15228594866036e-66,9.38805363519152e-66
"BIRC3",0,0
"NFKB1",1.2981792221254e-07,1.37276898183187e-07
"SGK1",1.71716811145739e-25,1.97783011506078e-25
"H2AFZ",2.97432901379057e-16,3.30693392921445e-16
"HLA-DRA",5.5686451738183e-72,7.45646760890531e-72
"PRPS2",6.602257165114e-11,7.16556141508608e-11
"GNPTAB",2.65944728686348e-18,2.98368599628653e-18
"NR4A3",2.61591321586046e-15,2.90098068169141e-15
