"gene_short_name","pval","qval"
"ANGPTL1",6.28010032456664e-106,1.5259232530197e-105
"PTPRC",1.18991682218548e-105,2.88313179605166e-105
"RENBP",1.65943623473535e-105,4.00953168448626e-105
"FMO3",1.71468216292749e-105,4.13147652070272e-105
"PGF",5.32372901167885e-105,1.27917377641728e-104
"GPRC5A",7.31585677451265e-105,1.75296845151065e-104
"UCP2",2.49175194267787e-104,5.95404815032144e-104
"CAMK2N1",3.43339944847139e-104,8.18151659208747e-104
"TDRD3",9.81589432790664e-104,2.33262324001078e-103
"F2R",3.69439047622993e-103,8.75519934777778e-103
"STX3",7.55690136891e-103,1.78598898472873e-102
"SOX4",9.62970945671413e-103,2.26967266486586e-102
"FILIP1L",2.55445571059046e-102,6.00435921103465e-102
"AKAP12",1.24014877784592e-101,2.90712382882579e-101
"RGCC",4.42800542877354e-100,1.03519586375381e-99
"IGHM",1.33026109482032e-99,3.10155214830075e-99
"CYP1B1",1.11135943633636e-98,2.58420944201868e-98
"PTPRS",1.95058510991773e-98,4.52347485275828e-98
"BHLHE40",3.87163481148573e-98,8.95444949715282e-98
"PLGRKT",4.02516995337262e-97,9.28472535911285e-97
"GADD45G",6.73047078454849e-97,1.54836628421129e-96
"ABCA6",6.15402672470957e-96,1.41199817423708e-95
"OSR2",6.70091816399022e-96,1.53341116715649e-95
"H2AFZ",7.2852688053496e-96,1.6627328539914e-95
"TSC22D1",2.78501633367989e-95,6.33957665429765e-95
"PTGS1",8.44439936776435e-95,1.91716678559479e-94
"ZC3H12A",4.5143480085154e-93,1.02222801763503e-92
"SGK1",5.30391139680397e-93,1.19788077238523e-92
"PHLDA1",6.1009289887447e-93,1.37429780605838e-92
"CCDC102B",7.3847417444168e-93,1.65916924907027e-92
"INHBA",9.64954197091571e-93,2.16239735876738e-92
"MSRA",3.88569125501478e-92,8.68507218498135e-92
"COL4A1",1.34809128455591e-91,3.00540969366201e-91
"TCEAL7",1.60703397989716e-91,3.57348172907723e-91
"PAPPA",1.95541853572143e-91,4.33701803435651e-91
"IDI1",2.87575951925418e-91,6.3619743840278e-91
"C1orf56",3.5461238793284e-91,7.8249927439262e-91
"ID4",3.68511401013278e-91,8.11100157446528e-91
"SDC2",8.74608515102882e-91,1.92014305980709e-90
"CTSB",1.69850949763325e-90,3.71952079861459e-90
"GPX1",3.10663202021766e-90,6.78595125628352e-90
"ELL2",4.2695947071587e-89,9.30276932416191e-89
"KLF4",6.86939422367513e-89,1.49297135765804e-88
"METTL21A",5.11395846299478e-88,1.10866518057406e-87
"TMEM204",1.59663631302664e-86,3.44411573757617e-86
"CCL11",1.59575999240501e-86,3.44411573757617e-86
